type_unique,participant,type,chain,alpha,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14
starfish1,1,starfish,1,0,1,4,2,5,2,0,0,0,7,1,NA,NA,NA,NA,NA
starfish2,2,starfish,1,0,4,0,0,6,0,1,0,1,3,4,NA,NA,NA,NA,NA
jellyfish1,1,jellyfish,1,0,0,0,11,0,2,0,1,1,2,0,NA,NA,NA,NA,NA
jellyfish2,2,jellyfish,1,0,3,2,6,1,3,5,5,2,3,3,NA,NA,NA,NA,NA
crab1,1,crab,1,0,2,9,6,0,10,1,0,1,0,0,NA,NA,NA,NA,NA
crab2,2,crab,1,0,0,0,0,2,1,0,1,0,2,0,NA,NA,NA,NA,NA
shrimp1,1,shrimp,1,0,0,0,6,6,2,1,0,1,0,5,NA,NA,NA,NA,NA
shrimp2,2,shrimp,1,0,5,7,9,0,0,0,0,1,16,1,NA,NA,NA,NA,NA
starfish1,1,starfish,2,0.25,8,0,1,1,0,4,3,4,3,2,0,5,5,NA,NA
starfish2,2,starfish,2,0.25,7,3,1,5,5,2,0,5,3,6,0,5,2,NA,NA
jellyfish1,1,jellyfish,2,0.25,3,0,1,7,4,0,3,1,2,2,6,0,0,NA,NA
jellyfish2,2,jellyfish,2,0.25,1,0,0,3,0,0,0,3,4,3,4,4,5,NA,NA
crab1,1,crab,2,0.25,3,1,1,2,4,4,0,5,8,7,3,3,5,NA,NA
crab2,2,crab,2,0.25,1,0,0,1,0,2,1,0,4,2,0,2,5,NA,NA
shrimp1,1,shrimp,2,0.25,4,1,0,3,0,3,0,2,3,7,3,5,6,NA,NA
shrimp2,2,shrimp,2,0.25,2,0,2,2,3,5,1,2,2,3,5,5,0,NA,NA
starfish1,1,starfish,3,0.25,2,3,0,0,0,0,6,0,3,1,3,4,0,0,0
starfish2,2,starfish,3,0.25,2,3,0,0,0,0,0,0,0,6,0,0,0,0,0
jellyfish1,1,jellyfish,3,0.25,1,3,4,4,1,1,0,0,1,1,5,5,0,0,0
jellyfish2,2,jellyfish,3,0.25,3,2,4,1,1,1,3,0,4,3,0,0,0,0,0
crab1,1,crab,3,0.25,1,6,0,0,1,0,0,0,1,0,4,4,0,0,0
crab2,2,crab,3,0.25,6,0,0,0,0,0,0,0,3,0,0,1,0,2,0
shrimp1,1,shrimp,3,0.25,2,5,0,1,1,1,9,0,2,0,0,0,0,0,0
shrimp2,2,shrimp,3,0.25,2,2,0,0,1,2,0,0,1,0,0,0,0,0,0
starfish1,1,starfish,4,0.5,0,0,1,3,2,0,7,0,1,1,0,5,NA,NA,NA
starfish2,2,starfish,4,0.5,1,0,0,5,0,0,0,0,1,1,2,0,NA,NA,NA
jellyfish1,1,jellyfish,4,0.5,1,1,1,1,1,0,3,7,1,1,3,1,NA,NA,NA
jellyfish2,2,jellyfish,4,0.5,9,0,1,4,1,0,9,1,1,1,0,0,NA,NA,NA
crab1,1,crab,4,0.5,3,0,1,3,2,0,0,0,9,0,0,0,NA,NA,NA
crab2,2,crab,4,0.5,0,1,0,3,1,0,1,1,1,1,0,3,NA,NA,NA
shrimp1,1,shrimp,4,0.5,3,0,0,1,1,0,1,0,0,1,1,0,NA,NA,NA
shrimp2,2,shrimp,4,0.5,1,1,2,1,3,0,2,0,1,2,5,5,NA,NA,NA
starfish1,1,starfish,5,0.75,0,0,0,0,1,3,6,0,NA,NA,NA,NA,NA,NA,NA
starfish2,2,starfish,5,0.75,1,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
jellyfish1,1,jellyfish,5,0.75,2,3,0,0,0,1,2,3,NA,NA,NA,NA,NA,NA,NA
jellyfish2,2,jellyfish,5,0.75,0,0,0,0,1,0,11,3,NA,NA,NA,NA,NA,NA,NA
crab1,1,crab,5,0.75,0,3,3,0,1,1,0,5,NA,NA,NA,NA,NA,NA,NA
crab2,2,crab,5,0.75,2,0,0,0,0,1,5,3,NA,NA,NA,NA,NA,NA,NA
shrimp1,1,shrimp,5,0.75,1,0,3,0,0,1,0,4,NA,NA,NA,NA,NA,NA,NA
shrimp2,2,shrimp,5,0.75,1,3,1,1,1,0,6,3,NA,NA,NA,NA,NA,NA,NA
starfish1,1,starfish,6,1,6,0,1,2,0,0,6,1,3,3,NA,NA,NA,NA,NA
starfish2,2,starfish,6,1,0,1,9,7,0,0,1,3,2,3,NA,NA,NA,NA,NA
jellyfish1,1,jellyfish,6,1,0,0,2,3,0,0,4,0,4,9,NA,NA,NA,NA,NA
jellyfish2,2,jellyfish,6,1,6,2,3,7,5,7,6,7,7,0,NA,NA,NA,NA,NA
crab1,1,crab,6,1,0,3,0,0,0,1,0,3,3,2,NA,NA,NA,NA,NA
crab2,2,crab,6,1,5,0,0,5,5,1,2,2,1,7,NA,NA,NA,NA,NA
shrimp1,1,shrimp,6,1,5,0,3,1,0,0,3,2,2,1,NA,NA,NA,NA,NA
shrimp2,2,shrimp,6,1,4,4,3,5,1,5,0,3,1,1,NA,NA,NA,NA,NA
